"customer_id","payment_date","previous_payment_date"
1,"2007-02-14 23:22:38.996577",NULL
1,"2007-02-15 16:31:19.996577","2007-02-14 23:22:38.996577"
1,"2007-02-15 19:37:12.996577","2007-02-15 16:31:19.996577"
1,"2007-02-16 13:47:23.996577","2007-02-15 19:37:12.996577"
1,"2007-02-18 07:10:14.996577","2007-02-16 13:47:23.996577"
1,"2007-02-18 12:02:25.996577","2007-02-18 07:10:14.996577"
1,"2007-02-21 04:53:11.996577","2007-02-18 12:02:25.996577"
1,"2007-03-01 07:19:30.996577","2007-02-21 04:53:11.996577"
1,"2007-03-02 14:05:18.996577","2007-03-01 07:19:30.996577"
1,"2007-03-02 16:30:04.996577","2007-03-02 14:05:18.996577"
1,"2007-03-17 11:06:20.996577","2007-03-02 16:30:04.996577"
1,"2007-03-18 02:25:55.996577","2007-03-17 11:06:20.996577"
1,"2007-03-19 08:23:42.996577","2007-03-18 02:25:55.996577"
1,"2007-03-19 12:25:20.996577","2007-03-19 08:23:42.996577"
1,"2007-03-21 22:02:23.996577","2007-03-19 12:25:20.996577"
1,"2007-03-21 23:56:23.996577","2007-03-21 22:02:23.996577"
1,"2007-03-22 18:10:03.996577","2007-03-21 23:56:23.996577"
1,"2007-03-22 18:32:12.996577","2007-03-22 18:10:03.996577"
1,"2007-04-08 01:45:31.996577","2007-03-22 18:32:12.996577"
1,"2007-04-08 06:02:22.996577","2007-04-08 01:45:31.996577"
1,"2007-04-09 11:52:33.996577","2007-04-08 06:02:22.996577"
1,"2007-04-09 15:06:27.996577","2007-04-09 11:52:33.996577"
1,"2007-04-11 08:42:12.996577","2007-04-09 15:06:27.996577"
1,"2007-04-27 09:59:48.996577","2007-04-11 08:42:12.996577"
1,"2007-04-28 07:33:11.996577","2007-04-27 09:59:48.996577"
1,"2007-04-28 14:46:49.996577","2007-04-28 07:33:11.996577"
1,"2007-04-28 16:02:05.996577","2007-04-28 14:46:49.996577"
1,"2007-04-28 17:48:33.996577","2007-04-28 16:02:05.996577"
1,"2007-04-29 02:27:15.996577","2007-04-28 17:48:33.996577"
1,"2007-04-30 01:10:44.996577","2007-04-29 02:27:15.996577"
2,"2007-02-17 19:23:24.996577",NULL
2,"2007-03-01 08:13:52.996577","2007-02-17 19:23:24.996577"
2,"2007-03-02 00:39:22.996577","2007-03-01 08:13:52.996577"
2,"2007-03-02 06:10:07.996577","2007-03-02 00:39:22.996577"
2,"2007-03-02 09:12:14.996577","2007-03-02 06:10:07.996577"
